45|17
27|50
21|37
46|50
29|36
34|8
2|48
41|44
37|10
5|14
13|1
21|29
14|23
42|40
38|17
27|27
15|25
49|36
36|5
31|2
46|9
1|2
18|30
38|11
36|18
4|17
22|9
48|14
40|43
19|47
50|48
11|37
49|15
2|15
36|22
50|16
1|32
16|37
1|36
44|14
44|5
23|27
1|35
32|14
41|37
47|42
5|32
12|35
24|21
46|44
12|27
42|43
29|34
38|18
32|5
11|2
49|33
28|17
5|21
34|5
10|6
40|11
37|48
28|32
34|15
49|40
48|19
5|23
50|19
21|17
29|20
11|38
27|3
5|32
47|18
45|17
37|12
17|7
35|18
3|34
30|25
1|19
25|10
1|5
15|48
4|13
43|43
41|20
32|38
33|27
21|17
9|39
28|39
5|9
44|4
32|37
7|48
21|7
33|1
48|38
